id,status_1,created_by,criticality,created_on,ci_number,name_1,updated_by,soft_delete_id,version,icon_name,updated_on,asset_id,color,ci_number_fx_rev,room,model,building,serial_number,manufacturer,operating_system,university_owned_,uanet_id,machine_name,warranty_type,lab_computer,date_warranty_expires,date_shipped,owned_by,building_list,accidental_damage
6699,Deployed,41301,Medium,01:09.4,6599,,41301,6699,,,01:09.4,,NULL,9956,,,,D5K7PH2,,,FALSE,MEERA,,,FALSE,NULL,NULL,,NULL,NULL
17373,Deployed,101,Medium,29:56.7,17273,,101,0,,,29:56.7,,NULL,37271,,LATITUDE 5480,,D5K7PH2,Dell,Microsoft Windows 10 Enterprise,FALSE,,MEERA-5480,,FALSE,NULL,00:00.0,,,NULL
9173,Deployed,101,Medium,25:39.4,9073,,101,0,,,25:39.4,,NULL,3709,,LATITUDE E6410,,D5PS2M1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
8652,Deployed,101,Medium,25:24.8,8552,,101,0,,,25:24.8,,NULL,2558,,DELL MINI 5,,D5RP7M1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
13224,Deployed,101,Medium,27:28.0,13124,,101,0,,,27:28.0,,NULL,42131,,OPTIPLEX 9020,,D5TG7Y1,Dell,Microsoft Windows 10 Enterprise,FALSE,,DRODDY1-9020-1,,FALSE,NULL,00:00.0,,,NULL
12343,Deployed,101,Medium,27:06.8,12243,,101,0,,,27:06.8,,NULL,34221,,LATITUDE E6430,,D5X9LV1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
16758,Deployed,101,Medium,29:30.7,16658,,101,0,,,29:30.7,,NULL,85661,,OPTIPLEX 5040,,D602GK2,Dell,Microsoft Windows 7 Enterprise,FALSE,,PILLIOD-5040,,FALSE,NULL,00:00.0,,,NULL
14473,Deployed,101,Medium,28:12.9,14373,,101,0,,,28:12.9,,NULL,37341,,OPTIPLEX 9020,,D64KR22,Dell,Microsoft Windows 7 Enterprise,FALSE,,DUNLAPL-9020,,FALSE,NULL,00:00.0,,,NULL
18149,Deployed,101,Medium,30:29.4,18049,,101,0,,,30:29.4,,NULL,94081,,LATITUDE 5490,,D67TSQ2,Dell,Microsoft Windows 10 Enterprise,FALSE,,LAWSA1-5490,,FALSE,NULL,00:00.0,,,NULL
17374,Deployed,101,Medium,29:56.7,17274,,101,0,,,29:56.7,,NULL,47271,,LATITUDE 5480,,D6JYNH2,Dell,Microsoft Windows 10 Enterprise,FALSE,,MCMANUS-5480-2,,FALSE,NULL,00:00.0,,,NULL
6689,Deployed,41301,Medium,01:09.4,6589,,41301,6689,,,01:09.4,,NULL,9856,,,,D6JYNH2,,,FALSE,MCMANUS,,,FALSE,NULL,NULL,,NULL,NULL
16741,Deployed,101,Medium,29:30.7,16641,,101,0,,,29:30.7,,NULL,14661,,LATITUDE 5480,,D6N17H2,Dell,Microsoft Windows 10 Enterprise,FALSE,,LIB-5480-18,,FALSE,NULL,00:00.0,,,NULL
17076,Deployed,101,Medium,29:40.6,16976,,101,0,,,29:40.6,,NULL,67961,,LATITUDE 5480,,D6R6GH2,Dell,Microsoft Windows 10 Enterprise,FALSE,,YOUNGS-5480,,FALSE,NULL,00:00.0,,,NULL
6434,Deployed,41301,Medium,01:01.9,6334,,41301,6434,,,01:01.9,,NULL,4336,,,,D6R6GH2,,,FALSE,YOUNGS,,,FALSE,NULL,NULL,,NULL,NULL
12584,Deployed,101,Medium,27:12.0,12484,,101,0,,,27:12.0,,NULL,48421,,OPTIPLEX 9010,,D6SNRW1,Dell,Microsoft Windows 10 Enterprise,FALSE,,NDN2-9010,,FALSE,NULL,00:00.0,,,NULL
18215,Deployed,101,Medium,30:29.5,18115,,101,0,,,30:29.5,,NULL,51181,,OPTIPLEX 7460 AIO,,D6WLCS2,Dell,Microsoft Windows 10 Enterprise,FALSE,,CRAIG6-7460,,FALSE,NULL,00:00.0,,,NULL
18216,Deployed,101,Medium,30:29.5,18116,,101,0,,,30:29.5,,NULL,61181,,OPTIPLEX 7460 AIO,,D6WMCS2,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
18217,Deployed,101,Medium,30:29.5,18117,,101,0,,,30:29.5,,NULL,71181,,OPTIPLEX 7460 AIO,,D6XGCS2,Dell,Microsoft Windows 10 Enterprise,FALSE,,SBAKER-7460,,FALSE,NULL,00:00.0,,,NULL
16742,Deployed,101,Medium,29:30.7,16642,,101,0,,,29:30.7,,NULL,24661,,LATITUDE 5480,,D6Z57H2,Dell,Microsoft Windows 10 Enterprise,FALSE,,LIB-5480-30,,FALSE,NULL,00:00.0,,,NULL
15099,Deployed,101,Medium,28:29.2,14999,,101,0,,,28:29.2,,NULL,99941,,OPTIPLEX 7020,,D6ZXR52,Dell,Microsoft Windows 10 Enterprise,FALSE,,GDYR339-7020-04,,FALSE,NULL,00:00.0,,,NULL
17338,Deployed,101,Medium,29:56.7,17238,,101,0,,,29:56.7,,NULL,83271,,LATITUDE 5480,,D745NH2,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
15100,Deployed,101,Medium,28:29.2,15000,,101,0,,,28:29.2,,NULL,51,,OPTIPLEX 7020,,D74NR52,Dell,Microsoft Windows 10 Enterprise,FALSE,,GDYR339-7020-03,,FALSE,NULL,00:00.0,,,NULL
12649,Deployed,101,Medium,27:14.5,12549,,101,0,,,27:14.5,,NULL,94521,,LATITUDE E6430,,D77WYW1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
9198,Deployed,101,Medium,25:39.4,9098,,101,0,,,25:39.4,,NULL,8909,,LATITUDE E6410,,D7G9SM1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
